merchant_id,repaid_date,amount
113607807,31-08-2023,1.71
113607807,29-08-2023,4.39
113607807,23-08-2023,14.48
113607807,21-08-2023,22.5
113607807,31-08-2023,63967.55
113607807,30-08-2023,20.22
113607807,29-08-2023,6.13
113607807,25-08-2023,63985.52
113607807,21-08-2023,63884.52
113607807,19-08-2023,10.18
113607807,30-09-2023,21.31
113607807,27-09-2023,76984
113607807,26-09-2023,2.14
113607807,22-09-2023,76937
113607807,19-09-2023,62.08
113607807,16-09-2023,76976
113607807,05-09-2023,1.71
113607807,02-09-2023,52562
113607807,26-09-2023,13.6
113607807,20-09-2023,1.14
113607807,16-09-2023,23.47
113607807,05-09-2023,1703
113607807,05-09-2023,295.35
113607807,03-09-2023,460
113607807,02-09-2023,11438.73
113607807,15-10-2023,0.16
113607807,06-10-2023,128.02
113607807,06-10-2023,160.09
113607807,04-10-2023,6567.79
113607807,04-10-2023,278.95
113607807,01-10-2023,256.21
113607807,16-10-2023,29.92
113607807,09-10-2023,151.77
113607807,07-10-2023,2.28
113607807,06-10-2023,25156.71
113607807,06-10-2023,335.37
113607807,04-10-2023,178.41
113607807,04-10-2023,1
113607807,03-10-2023,831.38
113607807,01-10-2023,76723
113607807,10-11-2023,3933
113607807,21-11-2023,4.18
113607807,09-11-2023,78651.89
113607807,09-12-2023,10
113607807,05-12-2023,280.57
113607807,01-12-2023,112.92
113607807,05-12-2023,77826.36
113607807,02-01-2024,238.37
113607807,24-02-2024,25800
113607807,15-02-2024,17500
113607807,14-02-2024,17500
113607807,22-02-2024,25800
113607807,21-02-2024,25800
113607807,20-02-2024,25800
113607807,17-02-2024,25800
113607807,16-02-2024,17500
113607807,23-03-2024,16199.12
113607807,22-03-2024,0.88
113607807,20-03-2024,16199.12
113607807,16-03-2024,1.26
113607807,14-03-2024,34.25
113607807,09-03-2024,24997.8
113607807,09-03-2024,174.93
113607807,03-03-2024,23
113607807,19-03-2024,0.88
113607807,16-03-2024,25198.74
113607807,14-03-2024,25148.49
113607807,13-03-2024,15.26
113607807,12-03-2024,1
113607807,09-03-2024,5.42
113607807,09-03-2024,21.09
113607807,20-04-2024,0.14
113607807,18-04-2024,76206
113607807,09-04-2024,73310
113607807,08-04-2024,2024.99
113607807,06-04-2024,86.7
113607807,21-04-2024,77000
113607807,16-04-2024,1.67
113607807,11-04-2024,207.06
113607807,09-04-2024,17585
113607807,08-04-2024,1165.53
113607807,06-04-2024,76413
113607807,03-04-2024,134
113607807,09-05-2024,571.41
113607807,03-05-2024,253.16
113607807,24-06-2024,13499.2
113607807,20-06-2024,13500
113607807,19-06-2024,13500
113607807,18-06-2024,13000
113607807,07-06-2024,1.9
113607807,22-06-2024,0.8
147575499,22-08-2023,4999.39
147575499,19-08-2023,449
119546974,22-08-2023,66
119546974,23-08-2023,233.64
119546974,20-08-2023,99.93
119546974,07-09-2023,1.5
119546974,30-09-2023,65
134996721,22-08-2023,699.8
134996721,22-08-2023,189
125853199,25-08-2023,65.77
125853199,22-08-2023,24.55
125853199,22-08-2023,0.65
125853199,30-08-2023,600.35
125853199,27-08-2023,527.37
125853199,27-08-2023,27.32
125853199,26-08-2023,435
125853199,22-08-2023,140
125853199,04-09-2023,4723
125853199,01-09-2023,89.1
125853199,02-09-2023,210
125853199,01-09-2023,3972.19
125853199,04-10-2023,12
125853199,26-12-2023,100
125853199,28-05-2024,800.95
125853199,27-05-2024,448.43
125853199,28-05-2024,126
125853199,27-05-2024,99.75
125853199,27-05-2024,24.69
133481767,23-08-2023,1271
133481767,23-08-2023,3.62
133481767,18-09-2023,20874.64
133481767,17-09-2023,4036.71
133481767,17-09-2023,15014.69
133481767,17-09-2023,6876.09
133481767,16-09-2023,25000
133481767,11-09-2023,25000
133481767,10-09-2023,25000
133481767,08-09-2023,25000
133481767,06-09-2023,25000
133481767,23-09-2023,24967.65
133481767,18-09-2023,32.35
133481767,18-09-2023,8088.65
133481767,17-09-2023,11109
133481767,04-10-2023,30155.8
133481767,14-10-2023,30000
133481767,12-10-2023,30000
133481767,05-10-2023,29918.62
133481767,04-10-2023,81.38
133481767,30-11-2023,17838.28
133481767,22-11-2023,18607.41
133481767,30-11-2023,15161.72
133481767,22-11-2023,11392.29
133481767,03-11-2023,97
133481767,31-12-2023,6815
133481767,13-12-2023,16224.03
133481767,10-12-2023,15731
133481767,07-12-2023,3689
133481767,06-12-2023,4656.88
133481767,04-12-2023,28121.73
133481767,04-12-2023,6507.75
133481767,04-12-2023,26.8
133481767,03-12-2023,2166.35
133481767,03-12-2023,19.04
133481767,03-12-2023,4224.6
133481767,02-12-2023,3.9
133481767,01-12-2023,10863
133481767,01-12-2023,3041.55
133481767,31-12-2023,20185.09
133481767,30-12-2023,25000
133481767,27-12-2023,100
133481767,17-12-2023,26514
133481767,16-12-2023,2710.83
133481767,13-12-2023,10776
133481767,13-12-2023,10776
133481767,11-12-2023,27000
133481767,10-12-2023,10999.03
133481767,10-12-2023,32.02
133481767,10-12-2023,11237.08
133481767,09-12-2023,27000
133481767,07-12-2023,23628.5
133481767,06-12-2023,1018.49
133481767,04-12-2023,8
133481767,04-12-2023,4554.07
133481767,04-12-2023,4623.3
133481767,03-12-2023,32751.46
133481767,02-12-2023,10000
133481767,01-12-2023,11008.15
133481767,01-12-2023,88.3
133481767,31-01-2024,27000
133481767,28-01-2024,547
133481767,27-01-2024,2053.8
133481767,27-01-2024,2453.8
133481767,27-01-2024,1001.9
133481767,26-01-2024,6307.6
133481767,25-01-2024,2053.8
133481767,25-01-2024,8110.45
133481767,25-01-2024,500.95
133481767,24-01-2024,54.96
133481767,24-01-2024,2504.75
133481767,22-01-2024,5507.6
133481767,22-01-2024,2003.8
133481767,21-01-2024,2003.8
133481767,21-01-2024,5060.2
133481767,21-01-2024,26.04
133481767,20-01-2024,13603
133481767,20-01-2024,6020.9
133481767,20-01-2024,1298.69
133481767,19-01-2024,17479
133481767,19-01-2024,18.78
133481767,18-01-2024,7983
133481767,18-01-2024,3205.7
133481767,18-01-2024,3510.45
133481767,18-01-2024,1028.24
133481767,17-01-2024,5403
133481767,17-01-2024,500.47
133481767,17-01-2024,5114.25
133481767,16-01-2024,1.65
133481767,16-01-2024,1001.9
133481767,16-01-2024,1051.9
133481767,16-01-2024,4006.65
133481767,14-01-2024,1.65
133481767,14-01-2024,478.7
133481767,14-01-2024,6517.1
133481767,13-01-2024,15002
133481767,13-01-2024,6826.69
133481767,12-01-2024,1002.85
133481767,12-01-2024,5056.65
133481767,11-01-2024,10.45
133481767,11-01-2024,2285.35
133481767,11-01-2024,2.85
133481767,11-01-2024,8008.55
